block,neighbourhood,street,jewish_insitute,public_institution,gas_station,banco,car_thefts,month,education,employment_rate
731.0,Once,Jean Jaures,0.0,0.0,1.0,0.0,0.0,4.0,12.027979850769043,0.95287024974823
748.0,Once,Boulogne Sur Mer,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
865.0,Once,San Luis,0.0,0.0,0.0,0.0,0.0,4.0,12.300501823425293,0.9517455101013184
860.0,Once,Viamonte,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
772.0,Once,Paso,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
749.0,Once,Boulogne Sur Mer,1.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
876.0,Once,Cordoba,0.0,0.0,0.0,0.0,0.25,4.0,,
732.0,Once,Jean Jaures,0.0,0.0,0.0,0.0,0.0,4.0,12.027979850769043,0.95287024974823
875.0,Once,Cordoba,0.0,0.0,0.0,0.0,0.25,4.0,12.771961212158203,0.9504233002662659
861.0,Once,Viamonte,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
862.0,Once,Viamonte,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
872.0,Once,Cordoba,0.0,0.0,0.0,0.0,0.0,4.0,12.782716751098633,0.9544060230255127
867.0,Once,San Luis,0.0,0.0,0.0,0.0,0.0,4.0,12.300501823425293,0.9517455101013184
869.0,Once,San Luis,0.0,0.0,0.0,0.0,0.0,4.0,13.05190658569336,0.9544060230255127
757.0,Once,Pueyrredon,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
740.0,Once,Ecuador,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
873.0,Once,Cordoba,0.0,0.0,0.0,1.0,0.0,4.0,13.028959274291992,0.9472478032112122
770.0,Once,Paso,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
737.0,Once,Ecuador,1.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
746.0,Once,Boulogne Sur Mer,1.0,0.0,0.0,0.0,1.0,4.0,12.216336250305176,0.9541666507720947
848.0,Once,Lavalle,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
755.0,Once,Pueyrredon,0.0,1.0,0.0,1.0,0.0,4.0,12.216336250305176,0.9541666507720947
738.0,Once,Ecuador,1.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
745.0,Once,Boulogne Sur Mer,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
769.0,Once,Paso,1.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
846.0,Once,Lavalle,0.0,1.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
845.0,Once,Lavalle,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
756.0,Once,Pueyrredon,1.0,0.0,0.0,1.0,0.0,4.0,12.216336250305176,0.9541666507720947
729.0,Once,Jean Jaures,0.0,0.0,0.0,0.0,0.0,4.0,12.027979850769043,0.95287024974823
